banco,iedi_mean,positividade,negatividade,posicao
Santander,5.780756655768332,84.02615600186829,15.973843998131715,1.0
Bradesco,5.757681465821001,82.55813953488372,17.441860465116278,2.0
Banco do Brasil,5.6213028764805415,81.912013536379,18.087986463620982,3.0
Itaú,5.585323417987933,86.3055984285113,13.694401571488704,4.0
Média do Setor,5.686266104014452,83.70047687541057,16.29952312458942,
