banco,trimestre,iedi_mean,volume_positivo,volume_positivo_titulo,positividade_pct,presenca_positiva_titulo_pct,media_variaveis_positivas
Santander,3T25,5.780756655768332,472.0,70.0,22.0457730032695,14.83050847457627,0.2097457627118644
Bradesco,3T25,5.757681465821001,586.0,83.0,20.648343904157855,14.163822525597269,0.23037542662116042
Banco do Brasil,3T25,5.6213028764805415,966.0,191.0,16.34517766497462,19.772256728778466,0.2546583850931677
Itaú,3T25,5.585323417987933,1229.0,99.0,17.24428230672092,8.0553295362083,0.13262815296989422
Média 3T25,3T25,5.686266104014452,813.25,110.75,19.070894219780723,14.205479316290075,0.20685193184902168
