trimestre,bb_iedi,bradesco_iedi,media_setor_iedi
4T24,5.723496762257169,5.5225382932166305,5.695985797270288
1T25,5.6338513962765955,5.744065281899109,5.759045719326659
2T25,5.270366433216609,5.688166268894192,5.692082248933236
3T25,5.6213028764805415,5.757681465821001,5.686266104014452
