trimestre,bb_iedi,santander_iedi,media_setor_iedi
4T24,5.723496762257169,5.723550871503851,5.695985797270288
1T25,5.6338513962765955,5.805504796710827,5.759045719326659
2T25,5.270366433216609,5.794453333333332,5.692082248933236
3T25,5.6213028764805415,5.780756655768332,5.686266104014452
