trimestre,bb_iedi,itaú_iedi,media_setor_iedi
4T24,5.723496762257169,5.814357262103505,5.695985797270288
1T25,5.6338513962765955,5.8527614024201045,5.759045719326659
2T25,5.270366433216609,6.015342960288809,5.692082248933236
3T25,5.6213028764805415,5.585323417987933,5.686266104014452
